C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
LAWN ACCESSORIES,158233,47 IN. L X 41 IN. W X 22 IN. H LARGE,1000572374,028-023-008-LAWN DECOR,028-023-008,28-SEASONAL/GARDEN,5.0,0.0
BOARDS,UNKNOWN,1X8-10FT PREM T&G BOARD,802184,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,2748.0,
FENCING,118678,PRO SERIES 6 FT. X 4 FT. WOODBRIDGE,1000099399,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,35.0,0.0
DIMENSIONAL LUMBER,UNKNOWN,2X2-8FT ROUGH EXPSD FIR PATIO STOCK,793843,021-003-002-NARROW,021-003-002,21-LUMBER,230993.0,3822.0
PRESSURE TREATED/DECKING,UNKNOWN,2X8-10FT #1 PT,255618,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,67692.0,
FENCING,371880,5/8 IN. X 6 IN. X 6 FT. PRESSURE TRE,1004405269,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,571.0,
FENCING,181985,4 FT. X 3-1/2 FT. GLENDALE SCALLOPED,1000345289,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,296.0,
BOARDS,318141,1 IN. X 6 IN. X 8 FT. CHARRED WOOD P,1003364140,021-005-010-HARDWOOD,021-005-010,21-LUMBER,840.0,
HOME & MOBILE ELECTRONIC,216590,WIRED DOOR CHIME RECEIVER - WHITE,1001369770,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,398.0,
HOME & MOBILE ELECTRONIC,289316,WHITE 85 DB WIRELESS BATTERY OPERATE,1002427074,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,37.0,
LAWN ACCESSORIES,238003,3 FT. X 3 FT. WESTERN RED CEDAR RAIS,1002507938,028-023-012-GREEN GARDENING,028-023-012,28-SEASONAL/GARDEN,873.0,
PRESSURE TREATED/DECKING,322356,5/4 IN. X 6 IN. X 8 FT. IPE S4S E4E,1003550537,021-020-010-CEDAR,021-020-010,21-LUMBER,19.0,
PRESSURE TREATED/DECKING,UNKNOWN,UFP_S/O_21-20-62_DECK_O_RAIL,1004718834,021-020-062-S/O COMP DECK NONWD,021-020-062,21-LUMBER,22.0,
FENCING,153804,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344980,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,8.0,
BOARDS,UNKNOWN,5/4X6-12FT PRMD S1S2E BOARD,106951,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,1174.0,109.0
LANDSCAPE,UNKNOWN,"1X2-24"" GRADE STAKES 12PC BUNDLE",461487,021-007-004-STAKES,021-007-004,21-LUMBER,1551739.8299999998,64659.0
DIMENSIONAL LUMBER,UNKNOWN,4X12-8FT #1 PRIME S4S DOUG FIR,454511,021-003-004-TIMBERS,021-003-004,21-LUMBER,393.0,
FENCING,UNKNOWN,VERANDA WHT VNL FENCE BRACKT KIT 2PK,285505,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,0.0,
FENCING,144750,PRO SERIES 5 IN. X 5 IN. X 84 IN. VI,1000342122,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,44.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,4X6-8FT ROUGH RED PT PP GC,383683,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,174336.0,3584.0
LANDSCAPE,UNKNOWN,"1-3/8""X1-3/8""-47"" REDWOD BEVL BALSTR",781152,021-007-006-SPECIALTY,021-007-006,21-LUMBER,141444.15000000002,
FENCING,UNKNOWN,DIS 4' X 8' CEDAR-TONE  CONCAVE PNL,1002195127,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X10-12 #2 PRIME OR BTR PT,356660,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,177227.0,0.0
PLYWOOD,UNKNOWN,11/32 2X4 BCX PLYWOOD,300853,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,568006.0,19215.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-8FT PT HON RUN,595990,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,90378.0,1502.0
FENCING,144751,PRO SERIES 5 IN. X 5 IN. X 72 IN. VI,1000342156,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,941.0,0.0
PLYWOOD,420524,1X3X2 SPF PREMIUM SANDED BOARDS 4-PK,1005583847,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,390.0,538.0
FENCING,169115,5 IN. X 5 IN. X 7 FT. VINYL LIGHT TA,1000099842,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,,0.0
PRESSURE TREATED/DECKING,132364,5 IN. X 5 IN. COMPOSITE COPPER POST,1002146288,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,34.0,
FENCING,UNKNOWN,DIS GRN TREATED 3-HOLE END PST RND,1001088633,021-008-018-EVENTS,021-008-018,21-LUMBER,4.0,
BOARDS,375780,1 IN. X 4 IN. X 2 FT. CHARCOAL BARN,1004528707,021-005-010-HARDWOOD,021-005-010,21-LUMBER,144.0,
PLYWOOD,373297,1/2 IN. X 1 FT. X 2 FT. BIRCH PROJEC,1004334506,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,36.0,
BOARDS,334168,1 IN. X 6 IN. X 4 FT. DEEP SEA BLUE,1003363577,021-005-010-HARDWOOD,021-005-010,21-LUMBER,22.0,
BOARDS,263235,1 IN. X 6 IN. X 4 FT. BARN WOOD RED,1002433241,021-005-010-HARDWOOD,021-005-010,21-LUMBER,63.0,
BOARDS,251200,1 IN. X 4 IN. X 8 FT. BARN WOOD GRAY,1001809376,021-005-010-HARDWOOD,021-005-010,21-LUMBER,5469.0,
FENCING,153570,PRO SERIES 6 FT. X 8 FT. VINYL ANAHE,1000345204,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,11.0,
FENCING,UNKNOWN,DIS 4X8 CEDAR SPACED CONCAVE FENCE P,1002191112,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,
FENCING,239671,1 IN. X 4 IN. X 3-1/2 FT. WESTERN RE,1002243581,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,3447.0,
BOARDS,377965,1 IN. X 8 IN. X 8 FT. TIMELESS GRANI,1004712903,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,95.0,
BOARDS,438064,1/4 IN X 18 IN. X 18 IN. MEDIUM DENS,1005911647,021-005-014-COMPOSITION,021-005-014,21-LUMBER,180.0,
LANDSCAPE,72321,4 IN. X 4 IN. WESTERN RED CEDAR PATI,1001731303,021-007-006-SPECIALTY,021-007-006,21-LUMBER,164.0,
FENCING,UNKNOWN,2X4-8' PRE STAINED S152E RAIL,1000007744,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,51672.0,2546.0
PLYWOOD,420533,"12"" FRENCH CLEAT RAIL",1005584428,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,175.0,1343.0
FENCING,UNKNOWN,"5/8""X4""X6' CEDAR GOTHIC PICKET",558184,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,356762.0,6524.0
PRESSURE TREATED/DECKING,UNKNOWN,1X6-12FT PT WEATHERSHIELD,155399,021-020-006-PT BOARDS,021-020-006,21-LUMBER,789418.0,13786.0
FENCING,UNKNOWN,"5/8""X7-1/2""X6' #2 CEDAR PCKT",613398,021-008-006-WRC ALTERNATIVE PICKETS,021-008-006,21-LUMBER,,
DIMENSIONAL LUMBER,UNKNOWN,6X6-8FT ROUGH EXPOSED PATIO FOHC DF,242185,021-003-004-TIMBERS,021-003-004,21-LUMBER,3227.0,101.0
FENCING,UNKNOWN,4X4-6FT PT SYP GOTHIC POST,107913,021-008-012-POST/RAIL,021-008-012,21-LUMBER,40699.0,1628.0
BOARDS,UNKNOWN,1X3-8FT COMMON BOARD,914649,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,2661223.0,102216.0
LANDSCAPE,186711,2 IN. X 2 IN. X 36 IN. WOOD PRESSURE,1000340464,021-007-006-SPECIALTY,021-007-006,21-LUMBER,12711.09,0.0
PLYWOOD,UNKNOWN,"3/16"" 2X4 RVRSBLE CHALK/MARKER BOARD",1005427985,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,140211.0,21099.0
FENCING,UNKNOWN,DIS 6'X8' PT DE BOB PANEL 1X6,1001212168,021-008-018-EVENTS,021-008-018,21-LUMBER,74.0,0.0
LANDSCAPE,UNKNOWN,"1X2-18"" SINGLE STAKE",461448,021-007-004-STAKES,021-007-004,21-LUMBER,1121973.0,12593.0
FENCING,118663,PRO SERIES 6 FT. X 6 FT. WOODBRIDGE,1000342073,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,325.0,0.0
FENCING,UNKNOWN,"6'X8' PT PINE 4"" BRD-ON-BRD FNC PNL",647693,021-008-005-PRESSURE TREATED PANELS,021-008-005,21-LUMBER,216655.0,2415.0
PLYWOOD,420534,4X4X4 CEDAR CUBE,1005584816,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,515.0,1089.0
PLYWOOD,UNKNOWN,23X35 FRAMED CORK BOARD,1000043751,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,2199.0,0.0
DIMENSIONAL LUMBER,160189,4X4-10FT ROUGH EXPOSED PATIO DF,742068,021-003-004-TIMBERS,021-003-004,21-LUMBER,204.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,4X4-8FT #2 RED PT GC,382493,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,2152186.82,19140.0
FENCING,UNKNOWN,"4""X4"" VERANDA WHT VNL PYRMD POST TOP",1000342537,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,,6.0
FENCING,144060,VINYL FENCE RAIL CLIPS,563923,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,10617.0,12785.0
FENCING,141569,6'X8' DOVER PRIVACY PANEL KIT,1000341871,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,7374.0,2.0
FENCING,209354,5 IN. X 5 IN. X 5 FT. VINYL TAN RANC,1001248909,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,393.0,0.0
FENCING,153806,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345051,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,3.0,0.0
PRESSURE TREATED/DECKING,87653,6 IN. X 6 IN. WRC STAINLESS BALL TOP,1000347540,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,45.0,0.0
BOARDS,UNKNOWN,3/4X4-8FT CEDAR BOARD,161897,021-005-005-CEDAR,021-005-005,21-LUMBER,,
PRESSURE TREATED/DECKING,147850,5 IN. X 5 IN. VINYL TIFFANY-STYLE GR,1001861634,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,4.0,
FENCING,144715,PRO SERIES 6 FT. X 4 FT. WOODBRIDGE,1000341925,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,25.0,
DIMENSIONAL LUMBER,157219,WOODEN CORNHOLE TOSS GAME SET WITH P,1000338968,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,205.0,
FENCING,181990,PRO SERIES 5 FT. X 4 FT. WOODBRIDGE,1000345341,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,23.0,
LANDSCAPE,132293,5 IN. X 5 IN. VINYL SOLAR LIGHT COPP,1000244254,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,241.0,
LANDSCAPE,228227,2-1/2 IN. X 24 IN. X 6 FT. WOOD FRAM,1001546748,021-007-002-LATTICE,021-007-002,21-LUMBER,124.0,
FENCING,UNKNOWN,11' PT PINE SPLIT RAIL,988026,021-008-012-POST/RAIL,021-008-012,21-LUMBER,723332.0,15422.34
BOARDS,418925,".75"" X 2.5"" X 192"" PFJ EG CEDAR TRIM",1005490247,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,3296.0,1147.0
PRESSURE TREATED/DECKING,UNKNOWN,1X4-16FT PT ROUGH,553281,021-020-006-PT BOARDS,021-020-006,21-LUMBER,37551.0,2104.0
LANDSCAPE,188175,6' PT CDR-TN CONTOUR LIGHTNING RAIL,1000043816,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1143.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,DLVRD 5/4X6-8FT PREM PT RWD-TN WSHLD,1000019460,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,0.0,0.0
DIMENSIONAL LUMBER,UNKNOWN,2X4-16FT #2 KD SYP,689173,021-003-002-NARROW,021-003-002,21-LUMBER,58729.0,2767.0
BOARDS,UNKNOWN,1X4-14FT STRIP,195291,021-005-011-FURRING,021-005-011,21-LUMBER,7138.0,1856.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-8FT #2 PRIME PT WEATHERSHIELD,168335,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,3389391.99,1836.0
FENCING,195164,WHITE VINYL FENCE POST (COMMON: 5 IN,1001266385,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,8308.0,0.0
LANDSCAPE,219925,"2X12-48"" RED PT STAIR TREAD",1001350334,021-007-006-SPECIALTY,021-007-006,21-LUMBER,36840.0,875.0
PRESSURE TREATED/DECKING,137174,2X10-10FT #1 RED PT GC,1001802378,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,12610.0,487.0
PRESSURE TREATED/DECKING,UNKNOWN,SO DLVD 2X12-16FT #1 PT RWD-TN WS,1000021400,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,7.0
BOARDS,UNKNOWN,1X4-8 BARN WOOD BROWN TRIM,1001860744,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,192531.0,0.0
DIMENSIONAL LUMBER,UNKNOWN,2X4-12FT #2 PRIME KD SYP,583977,021-003-002-NARROW,021-003-002,21-LUMBER,182487.0,3991.0
HOME & MOBILE ELECTRONIC,UNKNOWN,OFF WHT WIRELESS BATT OP PUSH BUTTON,1000506033,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,618.0,0.0
STUDS,UNKNOWN,S/O_UFP_21-6-60_STUDS,1004865241,021-006-060-S/O STUDS,021-006-060,21-LUMBER,3454.0,
BOARDS,345588,1 IN. X 6 IN. X 8 FT. TIMELESS CAVAL,1003912165,021-005-010-HARDWOOD,021-005-010,21-LUMBER,324.0,
FENCING,UNKNOWN,"DIS 5""X5""X6' PRO WOODBRIDGE END PST",1001651846,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,
LANDSCAPE,144297,5 IN. X 5 IN. VINYL STAINLESS STYLEP,1000244180,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,93.0,
FENCING,153685,PRO SERIES 6 FT. X 5 FT. ANAHEIM PRI,1000345282,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,3.0,
FENCING,UNKNOWN,"DIS 5""X""5X84"" WHT VNYL 3RAIL END PST",1001298502,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,
PLYWOOD,225488,SANDED PLYWOOD (COMMON: 23/32 IN. X,1001385793,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,106.0,
PLYWOOD,225449,BIRCH PLYWOOD (COMMON: 1/4 IN. X 2 F,1001385756,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,310.0,
LANDSCAPE,368912,5-STEP GROUND CONTACT PRESSURE TREAT,1004162195,021-007-006-SPECIALTY,021-007-006,21-LUMBER,2462.0,
BOARDS,276591,1 IN. X 8 IN. X 8 FT. UNFINISHED PIN,1002185260,021-005-010-HARDWOOD,021-005-010,21-LUMBER,4360.0,
FENCING,425471,7/16 IN. X 5.3 IN. X 6 FT. KEY LARGO,1005621910,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,0.0,
LANDSCAPE,189723,0.2 IN. X 48 IN. X 8 FT. BLACK PLAST,1001798537,021-007-002-LATTICE,021-007-002,21-LUMBER,2850.0,
BOARDS,276587,1 IN. X 6 IN. X 6 FT. UNFINISHED PIN,1002185256,021-005-010-HARDWOOD,021-005-010,21-LUMBER,1004.0,
LANDSCAPE,288524,6' RED PT STR RAIL KIT W/ALUM BAL,1002428430,021-007-006-SPECIALTY,021-007-006,21-LUMBER,1371.0,308.0
FENCING,UNKNOWN,"6'X8' SPF 4"" DOG EAR FENCE PANEL",517705,021-008-011-WHITEWOOD PANELS,021-008-011,21-LUMBER,253946.06,4532.0
LANDSCAPE,215725,8-STEP PRESSURE-TREATED CEDAR-TONE P,1001252707,021-007-006-SPECIALTY,021-007-006,21-LUMBER,22867.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,1X2-8FT PT DRYWALL STRIPS,439588,021-020-006-PT BOARDS,021-020-006,21-LUMBER,8771856.530000001,109243.52
PRESSURE TREATED/DECKING,UNKNOWN,2X12-10FT #1 PT,343648,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,19342.0,0.0
BOARDS,UNKNOWN,1X4-8 BARNWOOD WHITE TRIM,1002302294,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,62381.0,22323.0
LANDSCAPE,UNKNOWN,"1-1/2"" VERANDA CEDAR LATTICE SCREWS",917371,021-007-002-LATTICE,021-007-002,21-LUMBER,43896.0,13976.0
DIMENSIONAL LUMBER,157225,WOODEN CORNHOLE TOSS GAME SET WITH O,1000337770,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,280.0,0.0
BOARDS,204496,"1/4"" 4'X8' PVC WHITE PANEL",1000993368,021-005-018-PRIMED PVC,021-005-018,21-LUMBER,44000.0,1046.0
BOARDS,UNKNOWN,1X4-10FT COMMON BOARD,914703,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,75363.0,1886.0
LANDSCAPE,UNKNOWN,6 STEP PT STAIR STRINGER,441335,021-007-006-SPECIALTY,021-007-006,21-LUMBER,211942.0,0.0
PLYWOOD,UNKNOWN,1/4 2X4 AROMATIC CEDAR PLYWOOD,1000024021,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,36831.0,0.0
LANDSCAPE,UNKNOWN,"7/16""X4'X8' REDWOOD ARCH LATTICE",314641,021-007-002-LATTICE,021-007-002,21-LUMBER,9568.0,0.0
HOME & MOBILE ELECTRONIC,UNKNOWN,WRLS RECT WHT PLUG DRBELL KT1PB 75DB,1001406888,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,340184.0,0.0
DIMENSIONAL LUMBER,UNKNOWN,2X6-16FT #2 PRIME KD SYP,370129,021-003-002-NARROW,021-003-002,21-LUMBER,22908.0,153.0
HOME & MOBILE ELECTRONIC,245835,WIRED DOOR CHIME BUZZER,1000505649,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,320.0,0.0
BOARDS,299794,1X6-8FT BARNWOOD SHIPLAP BOARD,1002666180,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,348086.0,34976.0
INSULATION,115362,"28""X12' RADIANT BARRIER INSUL ROLL",1000113283,022-004-006-RADIANT BARRIER,022-004-006,22-BUILDING MATERIALS,23952.0,0.0
PLYWOOD,373262,1/2 4X8 CEDAR PLYWOOD,373262,021-001-005-HARDWOOD,021-001-005,21-LUMBER,3880.0,
LANDSCAPE,297472,3-STP RED PT (2X12) STAIR STRNGR,1002634840,021-007-006-SPECIALTY,021-007-006,21-LUMBER,70413.0,1794.0
PRESSURE TREATED/DECKING,UNKNOWN,2X10-10FT #2 PT CEDAR-TONE,1000004789,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,36691.0,0.0
HOME & MOBILE ELECTRONIC,216599,WIRED DOORBELL DELUXE CONTRACTOR KIT,1001406920,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,263172.0,0.0
FENCING,UNKNOWN,THD VINYL FENCE DISPLAY UFP - G,398594,021-008-018-EVENTS,021-008-018,21-LUMBER,,0.0
BOARDS,264845,1 IN. X 8 IN. X 4 FT. PREMIUM PRIMED,1002085671,021-005-010-HARDWOOD,021-005-010,21-LUMBER,137.0,
BOARDS,327176,1 IN. X 4 IN. X 2 FT. RECLAIMED PALL,1003063310,021-005-010-HARDWOOD,021-005-010,21-LUMBER,450.0,
FENCING,244551,PRO SERIES 6 FT. X 8 FT. WOODBRIDGE,1002168710,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,830.0,
HARDSCAPES,204954,28 IN. X 19 IN. X 20 IN. FIBERLITE J,1001687415,028-028-005-LANDSCAPE ROCK,028-028-005,28-SEASONAL/GARDEN,1093.0,
PRESSURE TREATED/DECKING,116420,4 IN. X 4 IN. WRC JADE STONE DIAMOND,1001016184,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,
PLYWOOD,438056,.375 IN X .125 FT. X 1.5 FT. WHITE W,1005911465,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,33.0,
FENCING,144773,PRO SERIES 8-1/6 FT. X 4 IN. X 4 IN.,1000341873,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,76.0,
BOARDS,377950,1 IN. X 4 IN. X 8 FT. TIMELESS GRANI,1004712888,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,8.0,
FENCING,181989,PRO SERIES 4 FT. X 4 FT. WOODBRIDGE,1000344225,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,22.0,
FENCING,153616,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345028,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,4.0,
PRESSURE TREATED/DECKING,147845,5 IN. X 5 IN. WHITE VINYL HIGH POINT,1001861229,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,209.0,
FENCING,175842,4 FT. X 3 FT. WHITE VINYL SPACED PIC,1000996894,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,88.0,
BOARDS,UNKNOWN,3/4 IN. X 32 IN. BRONZE ALUMINUM ROU,1000844902,021-005-060-S/O BOARDS,021-005-060,21-LUMBER,,
PLYWOOD,225483,BC SANDED PLYWOOD (COMMON: 7/32 IN.,1001385778,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,103.0,
FASTENERS,UNKNOWN,"S/O DLVD LEDGERLOK 5"" 50PK",1000023269,025-003-060-S/O FASTENERS,025-003-060,25-HARDWARE,,
LANDSCAPE,125935,180 TAN HANDRAIL POST RETURN,1001585789,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,2.0,
PRESSURE TREATED/DECKING,UNKNOWN,2X10-16FT #2 PT,255957,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,171298.0,0.0
PLYWOOD,212525,"3/4""X4'X4' PVC PANEL WHITE",1005022483,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,120.0,31.0
LANDSCAPE,401328,95 IN. WHITE ADA HAND RAIL WITH ALUM,1005370861,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,5947.0,2383.0
LANDSCAPE,163403,"8"" CAST STONE GRAY POST CAP",1000340374,021-007-006-SPECIALTY,021-007-006,21-LUMBER,156.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X2-8' #2 PRME PT RWD-TN WS LVR BRC,1000010390,021-020-006-PT BOARDS,021-020-006,21-LUMBER,272.0,0.0
DIMENSIONAL LUMBER,271736,2X4-2FT PRE-CUT LUMBER,1002185326,021-003-013-SHORT LUMBER,021-003-013,21-LUMBER,2992568.0,127239.0
FENCING,209353,5 IN. X 5 IN. X 5 FT. VINYL TAN RANC,1001248904,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,712.0,0.0
PRESSURE TREATED/DECKING,137175,2X12-8FT #1 RED PT GC,1001802372,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,15804.0,469.0
BOARDS,UNKNOWN,1X6-8FT COMMON BOARD,914770,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,35513.0,1116.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-10FT #2 PRIME PT CDR-TNE WHRSHLD,1000004753,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,155448.0,0.0
PRESSURE TREATED/DECKING,363329,1-5/32X6-16FT #1 THICK DECK PT WSHLD,1004153327,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,120535.0,5132.0
FENCING,118672,PRO SERIES 4 IN. X 4 IN. X 6 FT. SCA,1000342469,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1236.0,0.0
FENCING,UNKNOWN,"5""X5"" COPPER STYLEPOINT POST CAP",565221,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,
PLYWOOD,288322,1/4 2X4 RED OAK PLYWOOD,1002559515,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,11077.0,106.0
PLYWOOD,100153,5/8 2X2 OKOUME VIROLA PLYWOOD,787942,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,22899.0,555.0
FENCING,UNKNOWN,"5""X5""-7' VINYL RANCH CORNER POST",668857,021-008-015-VINYL ACCESSORIES,021-008-015,21-LUMBER,3223.0,2164.0
CONCRETE,UNKNOWN,5'X150' STEEL MESH ROLL,593087,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,15143.0,621.0
PRESSURE TREATED/DECKING,UNKNOWN,SO DLVD 2X10-16FT #1 PT RWD-TN WS,1000021397,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,41.0
BOARDS,UNKNOWN,1X3-12FT PRIMED BOARD,846030,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,4289.0,1431.0
PRESSURE TREATED/DECKING,332398,2X4-8FT CLEAR GC RED PT WSHLD KDAT,1003236379,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,23213.0,2555.0
PRESSURE TREATED/DECKING,298648,8 FT. ALUMINUM CEDAR-TONE SOUTHERN Y,1003091860,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,5888.0,
LAWN ACCESSORIES,175036,4 FT. X 4 FT. VINYL RAISED GARDEN BE,1000997333,028-023-012-GREEN GARDENING,028-023-012,28-SEASONAL/GARDEN,253.0,
PRESSURE TREATED/DECKING,142118,1 IN. X 1 IN. X 1.62 IN. WHITE ROUND,1001968514,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,0.0,
FENCING,144744,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000341902,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,0.0,
HARDSCAPES,204938,31.5 IN. X 23.5 IN. X 1.5 IN. FIBERL,1001687426,028-028-005-LANDSCAPE ROCK,028-028-005,28-SEASONAL/GARDEN,141.0,
BOARDS,263246,1 IN. X 6 IN. X 8 FT. BARN WOOD LIGH,1002064026,021-005-010-HARDWOOD,021-005-010,21-LUMBER,2229.0,
FENCING,125500,WHITE STAINLESS STEEL SELF CLOSING C,1000341813,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,67.0,
FENCING,130702,DIS 4'X8' PT SPACED ARCH TOP PNL 1X4,1001650927,021-008-018-EVENTS,021-008-018,21-LUMBER,35.0,0.0
FENCING,153784,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344630,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,0.0,0.0
