C_State_Territory_Code,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_Str_OH_units_wkly,C_sales
DE,0403-DELAWARE SHORES,0403,1604-REHOBOTH BEACH,1604,14838.0,5499681.170000065
MD,0043-WASHINGTON DC,0043,2559-FREDERICK,2559,4978.0,1218835.7699999586
SC,0045-CHARLOTTE,0045,"8913-LANCASTER,SC",8913,19331.0,8222755.959999809
DE,0034-PHIL/PA/NJ/DE,0034,1605-NEW CASTLE,1605,6165.0,825732.4599999809
MD,0043-WASHINGTON DC,0043,2562-BOWIE,2562,4456.0,1033780.4499999826
CO,0051-COLORADO,0051,1524-BROOMFIELD,1524,8407.0,3624909.089999885
CA,0048-LA,0048,6610-ALHAMBRA,6610,8403.0,1364191.329999989
CA,0048-LA,0048,6638-SANTA MARIA,6638,5305.0,1076794.049999969
OK,0058-OKLAHOMA CITY,0058,3901-S OKLAHOMA CITY,3901,25065.0,5653871.289999812
NJ,0015-NEW JERSEY,0015,0939-BURLINGTON,0939,5610.0,1138475.559999921
FL,0002-MIAMI/FTL/WPALM,0002,0204-BOCA RATON,0204,14660.0,4115840.6899999618
MN,0101-MINNESOTA,0101,2810-WOODBURY,2810,14564.0,3659675.3999997526
NV,0036-LAS VEGAS,0036,3324-NV ALIANTE,3324,3559.0,401367.04999998247
VA,0335-ROANOKE,0335,4609-ROANOKE,4609,2891.0,567340.300000005
TX,0008-HOUSTON,0008,6501-GULF FREEWAY,6501,35886.0,10607311.260000365
CA,0029-SACRAMENTO,0029,1085-PLACERVILLE,1085,4139.0,1379493.1799998947
GA,0001-ATLANTA,0001,0146-NW ROSWELL/WESTWIND,0146,40223.0,10001907.599999936
CA,0029-SACRAMENTO,0029,6675-FOLSOM,6675,4363.0,1066180.3999998942
WA,0044-SEA/TAC,0044,"4715-BELLINGHAM, WA",4715,3240.0,959446.1999998392
AL,0089-BIRMINGHAM,0089,0813-E MONTGOMERY,0813,1780.0,172913.4699999999
NJ,0015-NEW JERSEY,0015,0943-CAPE MAY,0943,5034.0,1500370.2199999013
FL,0004-TAMPA/ST.PETE,0004,6865-EAST PORT RICHEY,6865,5213.0,760518.0499999856
TX,0008-HOUSTON,0008,6558-WESTHEIMER,6558,3453.0,472441.7199999627
AR,0113-W. LITTLE ROCK,0113,1412-CABOT,1412,2641.0,324668.4900000003
AL,0481-SM-ALABAMA,0481,6889-ALEXANDER CITY,6889,1084.0,125636.3999999999
PA,0068-PENNSYLVANIA,0068,4110-WYOMISSING,4110,12659.0,3629241.9099999876
OH,0139-CLEVELAND,0139,3852-EUCLID,3852,5279.0,711501.090000013
MO,0129-KANSAS CITY,0129,3026-LEES SUMMIT,3026,2030.0,578163.619999997
UT,0076-UTAH,0076,4416-PROVO,4416,5218.0,1512516.2699999078
MD,0043-WASHINGTON DC,0043,2558-ASPEN HILL,2558,5843.0,2834776.259999823
MI,0143-BAY CITY,0143,"2747-MIDLAND,MI",2747,5600.0,542168.620000012
FL,0002-MIAMI/FTL/WPALM,0002,6376-WEST PORT ST LUCIE,6376,13134.0,2476371.8499999754
NY,0093-ROCHESTER,0093,1246-HENRIETTA,1246,2749.0,268907.50000000215
FL,0025-FT.MYERS/NAPLES,0025,0201-PORT CHARLOTTE,0201,17820.0,5161501.89999999
CA,0048-LA,0048,6650-CYPRESS,6650,4781.0,937754.6499999806
FL,0004-TAMPA/ST.PETE,0004,0257-ST PETE,0257,9254.0,1285949.719999925
UT,0076-UTAH,0076,4419-TOOELE,4419,3327.0,1041026.969999948
PA,0068-PENNSYLVANIA,0068,4118-DICKSON CITY,4118,14795.0,6700469.190000049
TX,0008-HOUSTON,0008,0574-SUGAR LAND,0574,4160.0,543990.6999999685
LA,0005-NEW ORLEANS,0005,0349-KENNER,0349,2795.0,238606.34000000096
CA,0196-PALM SPRINGS,0196,1059-EL CENTRO,1059,4871.0,922490.4899999325
PA,0034-PHIL/PA/NJ/DE,0034,4104-MONTGOMERYVILLE,4104,5230.0,832039.4199999691
NC,0282-DURHAM/RALEIGH,0282,3610-WINSTON-SALEM,3610,32491.0,7389128.389999683
TX,0008-HOUSTON,0008,6539-ALVIN,6539,29080.0,14184131.670000626
CA,0048-LA,0048,"6037-PASADENA, CA",6037,6117.0,
CA,0048-LA,0048,6662-THOUSAND OAKS,6662,4688.0,1311425.0299999875
TX,0211-CORPUS CHRISTI,0211,6584-BRIDGEPOINT,6584,24447.0,12127740.379999686
MN,0101-MINNESOTA,0101,2801-MAPLEWOOD,2801,12828.0,4432799.449999787
OR,0054-PORTLAND,0054,4020-ROSEBURG,4020,2752.0,655995.3399999597
IL,0075-CHICAGO,0075,8431-ROUND LAKE BEACH,8431,9360.0,2780728.670000004
FL,0004-TAMPA/ST.PETE,0004,0245-CARROLLWOOD,0245,18516.0,6204025.440000042
MO,0129-KANSAS CITY,0129,3019-LIBERTY,3019,2441.0,548388.8200000031
TX,0008-HOUSTON,0008,6543-PEARLAND,6543,32797.0,7541304.8800000325
FL,0002-MIAMI/FTL/WPALM,0002,0222-DAVIE,0222,22148.0,8319313.299999439
NY,0116-NEW YORK CITY,0116,6928-JAMAICA,6928,7536.0,1985491.6599999748
MA,0039-BOSTON/MA/NH,0039,"2680-PLYMOUTH,MA",2680,8172.0,3746365.9699998605
LA,0017-SHREVEPORT,0017,0356-SHREVEPORT,0356,2165.0,305614.189999996
NY,0020-LONG ISLAND,0020,"1272-HUNTINGTON,NY",1272,9797.0,5981396.769999817
MI,0072-DETROIT,0072,"2751-HOWELL,MI",2751,12380.0,2901329.4699998368
FL,0002-MIAMI/FTL/WPALM,0002,0213-VERO BEACH,0213,16167.0,2827497.86999996
OH,0314-TOLEDO,0314,3801-W TOLEDO,3801,6222.0,469461.10000000615
GA,0001-ATLANTA,0001,0114-MORROW,0114,4433.0,762139.1399999851
VA,0177-NORFOLK,0177,4614-CELEBRATION STATION,4614,30858.0,12304311.889999555
CA,0048-LA,0048,1039-HYDE PARK,1039,4639.0,1016680.929999993
AZ,0006-PHOENIX,0006,0410-TUCSON,0410,5975.0,2113457.929999693
FL,0014-JACKSONVILLE,0014,1324-ST JOHNS,1324,3232.0,231354.96999999916
CA,0048-LA,0048,0606-SANTA ANA,0606,3589.0,973585.5700000017
MI,0067-GRAND RAPIDS,0067,2780-GRAND HAVEN,2780,11276.0,4281905.699999911
AL,0089-BIRMINGHAM,0089,0818-PELL CITY,0818,1119.0,319875.63000000035
OH,0139-CLEVELAND,0139,3846-ONTARIO,3846,4682.0,539718.9400000047
SC,0392-CHARLESTON,0392,1118-EAST CHARLESTON,1118,9741.0,1912310.4099999655
TX,0042-AUSTIN,0042,6575-BASTROP,6575,4383.0,735217.239999986
PA,0068-PENNSYLVANIA,0068,4173-EASTON,4173,18385.0,4490133.24999993
CA,0048-LA,0048,1048-WILSHIRE/UNION,1048,4517.0,1123721.4799999835
OH,0314-TOLEDO,0314,3858-ROSSFORD,3858,5988.0,389717.9500000037
PA,0034-PHIL/PA/NJ/DE,0034,4163-TULLYTOWN,4163,4484.0,735819.4199999828
MS,0005-NEW ORLEANS,0005,2910-BILOXI,2910,3134.0,86582.53000000013
CA,0029-SACRAMENTO,0029,6947-CERES,6947,4804.0,850852.3099999446
NY,0020-LONG ISLAND,0020,1258-PATCHOGUE WEST,1258,11405.0,7634099.109999707
CT,0010-HARTFORD/S CONN,0010,"6234-MONTVILLE,CT",6234,4111.0,677216.6400000089
IL,0109-ST. LOUIS,0109,"6920-ALTON,IL",6920,10654.0,4369986.97
TX,0008-HOUSTON,0008,2389-KUYKENDAHL,2389,31860.0,3117753.5199999795
IL,0109-ST. LOUIS,0109,1973-EDWARDSVILLE,1973,12004.0,4827140.199999978
MI,0599-FENTON,0599,2741-FENTON,2741,8272.0,1219052.6699999727
CA,0029-SACRAMENTO,0029,1001-TURLOCK,1001,4769.0,862585.7299999644
DE,0034-PHIL/PA/NJ/DE,0034,"1610-NEWARK,DE",1610,6411.0,699905.2599999934
AZ,0006-PHOENIX,0006,0408-CASA GRANDE,0408,5356.0,1197000.9399998665
WA,0044-SEA/TAC,0044,4709-PUYALLUP,4709,3833.0,1193299.7199998198
CO,0051-COLORADO,0051,1522-GOLDEN,1522,9315.0,5174145.730000026
OH,0139-CLEVELAND,0139,3860-MASSILLON,3860,4946.0,670516.0100000062
NY,0086-ALBANY,0086,6173-ONEONTA,6173,3363.0,287458.10000000073
SC,0026-COL/GRNVLL/SPTNBG,0026,6918-EASLEY,6918,1848.0,401246.98000000033
IL,0075-CHICAGO,0075,1952-LAKE ZURICH,1952,10099.0,2833015.81999998
PA,0106-PITTSBURGH,0106,4123-OHIO TOWNSHIP,4123,7914.0,910186.9300000028
VA,0282-DURHAM/RALEIGH,0282,4659-SOUTH HILL,4659,17409.0,6459215.890000307
IL,0075-CHICAGO,0075,1944-VOLO,1944,12866.0,2641260.2000000095
NJ,0202-VILLAGER'S HARDWARE,0202,6903-VH-GARWOOD,6903,500.0,46621.61999999997
CA,0047-INLAND/DESERT,0047,6645-POMONA,6645,10133.0,1490627.0999999684
PA,0106-PITTSBURGH,0106,4139-BUTLER,4139,4912.0,901183.360000005
NJ,0015-NEW JERSEY,0015,0906-WATCHUNG,0906,12994.0,7450914.239999704
NH,0260-NEW HAMPSHIRE,0260,3403-HOOKSETT,3403,10761.0,4452416.879999855
FL,0002-MIAMI/FTL/WPALM,0002,6379-ROYAL PALM,6379,18152.0,5058088.989999844
AL,0089-BIRMINGHAM,0089,0804-N HUNTSVILLE,0804,1070.0,217563.88000000056
PR,0133-PUERTO RICO,0133,6401-BAYAMON,6401,26429.71,14910488.449999839
CO,0051-COLORADO,0051,1503-THORNTON,1503,9853.0,6009279.160000033
OH,"0157-COLUMBUS,OH",0157,3883-ZANESVILLE,3883,12139.0,5296614.619999837
FL,0014-JACKSONVILLE,0014,6369-FLEMING ISLAND,6369,3410.0,400720.1100000072
FL,0004-TAMPA/ST.PETE,0004,0279-NORTHGATE,0279,31856.0,13104651.719999684
AR,0148-FAYETTEVILLE,0148,"1409-HARRISON,AR",1409,2167.0,275366.4300000008
MI,0072-DETROIT,0072,2737-NOVI,2737,12157.0,1681328.3299999465
KS,0129-KANSAS CITY,0129,2209-S OVERLAND PARK,2209,5255.0,1096177.5999999847
SC,0026-COL/GRNVLL/SPTNBG,0026,1119-GREENVILLE,1119,3952.0,504219.3200000059
NJ,0015-NEW JERSEY,0015,0949-NEPTUNE,0949,11671.0,5028851.039999873
NH,0260-NEW HAMPSHIRE,0260,"3482-MANCHESTER, NH",3482,10258.0,5652106.539999775
TN,0019-NASHVILLE,0019,0733-HERMITAGE,0733,1212.0,270810.34000000096
NY,0191-HUDSON VALLEY,0191,1271-SOUTHEAST/BREWSTER,1271,3610.0,965448.579999943
CA,0012-SAN DIEGO,0012,0680-GENESEE,0680,14577.0,3264678.139999847
NY,0191-HUDSON VALLEY,0191,1212-PORT CHESTER,1212,1055.0,612940.6799999604
PA,0106-PITTSBURGH,0106,4115-WEST MIFFLIN,4115,4998.0,1061451.4399999878
NY,0093-ROCHESTER,0093,1273-IRONDEQUOIT,1273,4405.0,557798.2299999957
TX,0016-DALLAS/FT WORTH,0016,0507-GRAND PRAIRIE,0507,12081.0,853175.3699999542
GA,0001-ATLANTA,0001,0121-CUMBERLAND,0121,28419.0,11894161.06999957
FL,0002-MIAMI/FTL/WPALM,0002,6326-W GRIFFIN,6326,36122.0,8961869.809999472
MI,0072-DETROIT,0072,2740-STERLING HEIGHTS,2740,14251.0,2770986.4499999234
NJ,0015-NEW JERSEY,0015,0957-OLD BRIDGE II,0957,11407.0,3943472.8199999253
FL,0004-TAMPA/ST.PETE,0004,0243-BRANDON,0243,20464.0,6012620.7900000075
TX,0016-DALLAS/FT WORTH,0016,0556-RICHARDSON,0556,20468.0,4950526.210000213
NY,0020-LONG ISLAND,0020,1213-JERICHO,1213,15503.0,7761384.209999774
WA,0044-SEA/TAC,0044,4705-SOUTHCENTER,4705,3537.0,886986.8199998951
NC,0282-DURHAM/RALEIGH,0282,3632-NORTH DURHAM,3632,25982.0,9269064.019999946
TX,0008-HOUSTON,0008,0508-CONROE,0508,43121.0,21118045.48000087
CO,0190-GRAND JUNCTION,0190,1513-GRAND JUNCTION,1513,11096.0,5582435.700000191
VA,0043-WASHINGTON DC,0043,4621-LEESBURG,4621,19535.0,7150704.33999966
IL,0075-CHICAGO,0075,1908-BEDFORD PARK,1908,7939.0,564364.9100000042
TN,0327-MEMPHIS,0327,0737-BARTLETT/STAGE RD,0737,901.0,190942.23000000019
UT,0226-SW UTAH,0226,4412-ST GEORGE,4412,4321.0,876518.3199999842
NY,0065-WAPPING/WALLKILL,0065,6172-THOMPSON,6172,4201.0,336609.83000000415
CT,0010-HARTFORD/S CONN,0010,6218-NEW HARTFORD,6218,1905.0,679128.340000014
HI,0266-OUTER ISLANDS,0266,1703-MAUI,1703,2230.0,789589.0099999316
MA,0039-BOSTON/MA/NH,0039,"2686-SALEM,MA",2686,10839.0,6376543.470000197
AL,0018-MOBILE,0018,0802-FOLEY,0802,2379.0,146966.96000000005
TX,0016-DALLAS/FT WORTH,0016,6562-THE COLONY,6562,11279.0,1292171.9799998924
TX,0008-HOUSTON,0008,6819-WEST WOODLANDS,6819,33571.0,13634012.38000037
LA,0005-NEW ORLEANS,0005,0360-LAFAYETTE,0360,1951.0,86636.47000000004
OR,0054-PORTLAND,0054,4018-S BEAVERTON,4018,3353.0,1492313.5499997279
FL,0002-MIAMI/FTL/WPALM,0002,0207-CUTLER RIDGE,0207,37630.0,19353982.020000573
CA,0048-LA,0048,1845-COVINA,1845,3575.0,972726.7999999953
MD,0043-WASHINGTON DC,0043,2506-BEL AIR,2506,5140.0,1504028.0299999013
FL,0050-PANHANDLE,0050,6303-PANAMA CITY,6303,1405.0,205577.5999999998
NC,0282-DURHAM/RALEIGH,0282,3644-APEX,3644,60095.0,14439252.379999701
CA,0047-INLAND/DESERT,0047,0601-CORONA,0601,10529.0,1137826.3699999985
CA,0047-INLAND/DESERT,0047,1028-TEMECULA,1028,13445.0,2230280.6199999526
NY,0116-NEW YORK CITY,0116,1221-BRONX,1221,7624.0,3606329.299999885
TX,0008-HOUSTON,0008,6516-WOODLANDS,6516,34031.0,11931673.35000063
WA,0094-SPOKANE,0094,4743-LIBERTY LAKE,4743,2763.0,644021.0199999332
NY,0086-ALBANY,0086,1269-CLIFTON PARK,1269,2987.0,522762.96999999316
NY,0116-NEW YORK CITY,0116,6957-BEDFORD STUYVESANT,6957,8643.0,3960610.6299998746
VA,0177-NORFOLK,0177,4619-CHESAPEAKE,4619,38457.0,10313999.239999602
SC,0392-CHARLESTON,0392,1120-SUMMERVILLE,1120,14382.0,3184795.8999998984
NV,0076-UTAH,0076,3320-ELKO,3320,7680.0,1072079.939999972
OR,0054-PORTLAND,0054,4013-E PORTLAND MALL,4013,3939.0,1610697.9399997194
NV,0036-LAS VEGAS,0036,3318-W CENTRAL LAS VEGAS,3318,3491.0,782212.3699998665
NY,0020-LONG ISLAND,0020,1229-CORAM,1229,12517.0,5682990.619999856
MO,0109-ST. LOUIS,0109,3015-OFALLON,3015,14247.0,3955758.8700000322
FL,0002-MIAMI/FTL/WPALM,0002,6312-N LAUDERDALE,6312,29167.0,6096280.800000001
GA,0001-ATLANTA,0001,6942-CEDARTOWN,6942,23557.0,8355714.679999955
NJ,0015-NEW JERSEY,0015,0907-W LONG BRANCH,0907,11017.0,3412428.719999908
TX,0008-HOUSTON,0008,6828-TORREY CHASE,6828,3726.0,564053.3399999732
PA,0106-PITTSBURGH,0106,4135-CRANBERRY,4135,4287.0,694667.7000000023
CA,0029-SACRAMENTO,0029,1064-NW BAKERSFIELD,1064,7855.0,1310335.1299998958
CA,0021-SAN FRANCISCO BAY,0021,0657-SAN RAFAEL,0657,4815.0,1572344.8599999184
TX,0073-EL PASO,0073,8523-EAST EL PASO,8523,5009.0,2054788.449999879
MD,0403-DELAWARE SHORES,0403,2561-SALISBURY,2561,18304.0,5058960.1999995215
TX,0008-HOUSTON,0008,6559-COLLEGE STATION,6559,16936.0,7092060.250000673
AZ,0134-PRESCOTT,0134,0423-COTTONWOOD,0423,7276.0,2174946.5199996633
OR,0054-PORTLAND,0054,4017-OREGON CITY,4017,4025.0,2083161.7699997132
OH,0314-TOLEDO,0314,3807-WESTGATE,3807,6199.0,427431.48000000225
CA,0029-SACRAMENTO,0029,1073-HANFORD,1073,4710.0,734640.6999999693
GA,0001-ATLANTA,0001,1749-AUSTELL,1749,22389.0,9457982.409999967
IL,0075-CHICAGO,0075,1940-ALGONQUIN,1940,9036.0,2238165.410000012
NJ,0015-NEW JERSEY,0015,0982-E WINDSOR,0982,4932.0,776090.7399999916
TN,0019-NASHVILLE,0019,0772-PULASKI,0772,1237.0,135737.09999999995
TN,0327-MEMPHIS,0327,0725-HICKORY HILL,0725,697.0,151252.1100000003
MN,0262-OUTSTATE MN,0262,"2817-DULUTH,MN",2817,10917.0,2957649.209999881
UT,0076-UTAH,0076,4407-LINDON,4407,3190.0,1062900.2299999446
GA,0001-ATLANTA,0001,0118-WESLEY CHAPEL,0118,4892.0,992583.6499999727
OK,0058-OKLAHOMA CITY,0058,3903-S TULSA,3903,21517.0,3878359.4600004205
MA,0272-INDIAN ORCHARD,0272,2610-CHICOPEE,2610,3109.0,1165224.3199999824
CT,0010-HARTFORD/S CONN,0010,6220-GLASTONBURY,6220,7872.0,5793289.039999974
GA,0001-ATLANTA,0001,1763-SANDY PLAINS,1763,4230.0,825657.0799999546
KS,0147-WICHITA,0147,2214-HUTCHINSON,2214,2502.0,211734.99000000043
NJ,0015-NEW JERSEY,0015,0970-DELRAN,0970,5005.0,763036.3099999902
TN,0009-KNOXVILLE,0009,0740-LENOIR CITY,0740,1592.0,646935.2900000142
NV,0063-RENO,0063,3310-RENO,3310,3466.0,609701.2999999499
OR,0054-PORTLAND,0054,4002-TIGARD,4002,3851.0,1493542.2799997283
FL,0002-MIAMI/FTL/WPALM,0002,6329-SAWGRASS,6329,22588.0,6081212.4699999355
MO,0109-ST. LOUIS,0109,3037-OVERLAND,3037,11718.0,4108885.6300001075
WA,0054-PORTLAND,0054,"4725-LONGVIEW,WA",4725,2733.0,1013530.5799998712
PA,0106-PITTSBURGH,0106,4152-ALLISON PARK,4152,4012.0,543951.5199999991
NC,0045-CHARLOTTE,0045,3606-GASTONIA,3606,22797.0,7213752.019999709
CA,0012-SAN DIEGO,0012,1018-N OCEANSIDE,1018,10896.0,2261856.1799998665
TX,0008-HOUSTON,0008,6506-COPPERFIELD,6506,4280.0,760768.3599999325
CA,0029-SACRAMENTO,0029,1050-BAKERSFIELD CENTRAL,1050,7114.0,872823.0599999238
AZ,0006-PHOENIX,0006,0414-TUCSON / ORACLE,0414,4987.0,1345525.0799998397
MI,0143-BAY CITY,0143,2765-NORTH FLINT,2765,5535.0,541628.8500000096
CA,0012-SAN DIEGO,0012,0658-CHULA VISTA,0658,12547.0,1641354.2999998925
FL,0014-JACKSONVILLE,0014,6351-N JACKSONVILLE,6351,4179.0,678032.9499999793
OH,0139-CLEVELAND,0139,"3808-NILES, OH",3808,4615.0,925265.1300000106
CA,0196-PALM SPRINGS,0196,8526-PALM SPRINGS,8526,4719.0,1403245.939999888
CA,0029-SACRAMENTO,0029,0651-FLORIN RD,0651,5649.0,925570.5699999306
CA,0048-LA,0048,6651-LANCASTER,6651,4823.0,1026459.1900000009
NY,0093-ROCHESTER,0093,1236-DEWITT/E SYRACUSE,1236,7483.0,706702.2699999863
OH,0156-CINCINNATI,0156,3863-HARRISON,3863,15470.0,5813648.2700000545
NY,0066-BUFFALO,0066,6154-JAMESTOWN,6154,1703.0,446455.34999999614
CA,0047-INLAND/DESERT,0047,6665-S CORONA,6665,9522.0,1219253.3599999833
MI,0143-BAY CITY,0143,2736-LAPEER,2736,7310.0,1362238.1399999717
WA,0044-SEA/TAC,0044,4712-BOTHELL,4712,3794.0,1547043.7599997187
TX,0040-SAN ANTONIO,0040,6551-LIVE OAK,6551,33088.0,10617417.51999952
GA,0001-ATLANTA,0001,0111-MERCHANTS WALK,0111,34815.0,11355720.160000272
CA,0029-SACRAMENTO,0029,8427-LOS BANOS,8427,5504.0,536297.2499999874
WA,0094-SPOKANE,0094,4746-WEST RICHLAND,4746,3594.0,1063853.0499999034
CA,0047-INLAND/DESERT,0047,0610-S SAN BERNARDINO,0610,9644.0,1149345.0000000019
NY,0093-ROCHESTER,0093,6153-CLAY,6153,5432.0,501385.7199999887
MA,0039-BOSTON/MA/NH,0039,"2624-OXFORD,MA",2624,11722.0,4700603.619999839
CO,0051-COLORADO,0051,1546-BOULDER,1546,9460.0,5857013.960000065
TX,0016-DALLAS/FT WORTH,0016,0555-BALCH SPRINGS,0555,5923.0,765102.5499999485
FL,0003-ORL/MEL/DAYTONA,0003,0265-KISSIMMEE,0265,19458.0,3473451.369999978
FL,0014-JACKSONVILLE,0014,6890-JACKSONVILLE W (OAKLEAF),6890,3281.0,422310.02000000176
NC,0045-CHARLOTTE,0045,3601-PINEVILLE,3601,16283.0,5527816.969999956
OK,0419-RURAL SOUTHERN WEST,0419,3918-ADA,3918,2015.0,210499.03000000087
WY,0548-SHERIDAN,0548,6005-GILLETTE,6005,7672.0,2683751.4100001007
NY,0086-ALBANY,0086,1263-N GREENBUSH,1263,3624.0,768754.0799999896
LA,0017-SHREVEPORT,0017,0364-BOSSIER CITY,0364,2826.0,462051.62999999477
TX,0212-BEAUMONT,0212,8419-ORANGE,8419,1826.0,470543.34999995265
NJ,0015-NEW JERSEY,0015,0926-HAZLET,0926,11281.0,8497826.509999804
CA,0029-SACRAMENTO,0029,6618-MERCED,6618,6436.0,703578.6299999823
WA,0044-SEA/TAC,0044,4708-OLYMPIA,4708,3374.0,712512.5699999445
PA,0068-PENNSYLVANIA,0068,"4141-LEBANON,PA",4141,11411.0,3247471.629999986
FL,0004-TAMPA/ST.PETE,0004,6311-BRUCE B DOWNS,6311,17587.0,4206102.109999994
CA,0021-SAN FRANCISCO BAY,0021,0630-SANTA CLARA,0630,5218.0,730487.7799999353
MI,0072-DETROIT,0072,2734-CHESTERFIELD,2734,14446.0,5174706.09999985
GA,0001-ATLANTA,0001,0116-WOODSTOCK,0116,31162.0,10434466.499999603
MI,0072-DETROIT,0072,2764-AUBURN HILLS,2764,10500.0,5202355.709999805
MS,0102-JACKSON,0102,"2917-CLINTON,MS",2917,3664.0,188673.49999999968
WI,0164-MILWAUKEE,0164,4911-JANESVILLE,4911,9163.0,2475590.8500000406
FL,0002-MIAMI/FTL/WPALM,0002,0205-LAKE WORTH,0205,34221.0,14415238.639999358
